# wave flux fluxerr
4.490000000000000000e+03 8.577548715677304133e-14 8.536947098774348131e-15
4.500000000000000000e+03 9.174815258000223567e-14 8.478677741214593717e-15
4.510000000000000000e+03 9.891242354393484512e-14 8.381155003407023994e-15
4.520000000000000000e+03 7.889751609027970572e-14 8.253263107508044173e-15
4.530000000000000000e+03 8.601569373099087217e-14 8.102952427811863945e-15
4.540000000000000000e+03 7.315923019308659396e-14 7.937939876647142937e-15
4.550000000000000000e+03 7.465972838235669582e-14 7.765942366342537622e-15
4.560000000000000000e+03 8.728705721047850817e-14 7.594676809226709203e-15
4.570000000000000000e+03 8.000978577287503550e-14 7.431575449176451290e-15
4.580000000000000000e+03 7.581503793071255066e-14 7.277523155675601184e-15
4.590000000000000000e+03 5.521437266661467188e-14 7.126857423815054082e-15
4.600000000000000000e+03 8.264083001088148803e-14 6.973631080233865193e-15
4.610000000000000000e+03 5.370235979516233776e-14 6.811896951571054229e-15
4.620000000000000000e+03 7.162674111998225358e-14 6.635707864465645633e-15
4.630000000000000000e+03 7.051976632045681037e-14 6.440656570211172389e-15
4.640000000000000000e+03 5.687612172843070542e-14 6.228495518719112503e-15
4.650000000000000000e+03 7.478836331663516161e-14 6.002517084555446996e-15
4.660000000000000000e+03 6.307939303868032081e-14 5.766013642286149793e-15
4.670000000000000000e+03 4.664086886461760868e-14 5.522277566477200339e-15
4.680000000000000000e+03 4.564619425610579793e-14 5.274816991260416455e-15
4.690000000000000000e+03 5.473681335652128895e-14 5.032102520782018526e-15
4.700000000000000000e+03 5.357270311575238006e-14 4.807567229202605046e-15
4.710000000000000000e+03 4.874973899407062817e-14 4.614859950248681518e-15
4.720000000000000000e+03 3.892344844632861189e-14 4.467629517646684811e-15
4.730000000000000000e+03 4.579192250478777112e-14 4.379524765123079407e-15
4.740000000000000000e+03 4.246133998483106448e-14 4.359302481532920825e-15
4.750000000000000000e+03 3.947959167858794878e-14 4.396151276245644522e-15
4.760000000000000000e+03 4.213783985260185893e-14 4.474367713759278570e-15
4.770000000000000000e+03 4.959617673345010231e-14 4.578248358571854987e-15
4.780000000000000000e+03 4.869512180994764764e-14 4.692089775181404213e-15
4.790000000000000000e+03 4.997543583438287505e-14 4.800538098796930371e-15
4.800000000000000000e+03 5.138759772086644011e-14 4.896279590979997990e-15
4.810000000000000000e+03 5.301585967770457733e-14 4.980040639644717800e-15
4.820000000000000000e+03 5.361515763702328438e-14 5.052897203416160806e-15
4.830000000000000000e+03 5.804017720305422101e-14 5.115925240919423258e-15
4.840000000000000000e+03 5.944601313913993651e-14 5.170200710779590359e-15
4.850000000000000000e+03 4.874848026410132534e-14 5.217908123400246055e-15
4.860000000000000000e+03 5.402320801235215727e-14 5.265666196298939278e-15
4.870000000000000000e+03 5.456693320485246447e-14 5.321202198771712179e-15
4.880000000000000000e+03 5.946574518364274238e-14 5.392243400114610064e-15
4.890000000000000000e+03 6.518171412160179816e-14 5.486517069623676661e-15
4.900000000000000000e+03 5.846540951822662379e-14 5.611259126750058484e-15
4.910000000000000000e+03 5.728467179543052134e-14 5.762404444512221966e-15
4.920000000000000000e+03 6.615047036791112452e-14 5.924586849495977116e-15
4.930000000000000000e+03 6.727365113046485117e-14 6.081948818442183880e-15
4.940000000000000000e+03 6.576061940908939197e-14 6.218632828091756634e-15
4.950000000000000000e+03 5.728503889055098137e-14 6.318781355185578986e-15
4.960000000000000000e+03 6.381095110782787688e-14 6.370962790011492895e-15
4.970000000000000000e+03 6.100605420651458435e-14 6.381449177045079830e-15
4.980000000000000000e+03 4.379830292107614159e-14 6.360938474308866196e-15
4.990000000000000000e+03 6.199777271844868092e-14 6.320128639825378399e-15
5.000000000000000000e+03 6.762384539757091602e-14 6.269717631617146789e-15
5.010000000000000000e+03 6.230092321750152414e-14 6.220041511142068365e-15
5.020000000000000000e+03 5.985074996149382737e-14 6.173112718871740509e-15
5.030000000000000000e+03 5.710561585459887722e-14 6.122620074291438891e-15
5.040000000000000000e+03 5.358601108422838341e-14 6.061890500321826345e-15
5.050000000000000000e+03 5.976340643251489765e-14 5.984250919883558604e-15
5.060000000000000000e+03 5.779188650307934405e-14 5.883028255897294556e-15
5.070000000000000000e+03 6.539305466853396217e-14 5.754172002463288991e-15
5.080000000000000000e+03 5.198327083306155908e-14 5.604121938400172417e-15
5.090000000000000000e+03 4.906091471762980809e-14 5.441940413706179918e-15
5.100000000000000000e+03 5.993605651814619398e-14 5.276689778379544214e-15
5.110000000000000000e+03 5.114233158494718361e-14 5.117432382418498023e-15
5.120000000000000000e+03 5.148180199680357596e-14 4.972975264583792120e-15
5.130000000000000000e+03 4.263783571613806539e-14 4.846253305174243209e-15
5.140000000000000000e+03 4.480446356484533522e-14 4.734329226026711835e-15
5.150000000000000000e+03 4.885681072103371649e-14 4.634010437740619198e-15
5.160000000000000000e+03 4.257211309740140075e-14 4.542104350915343899e-15
5.170000000000000000e+03 4.134067120534713536e-14 4.455418376150281892e-15
5.180000000000000000e+03 4.099036855548151259e-14 4.371478360242834351e-15
5.190000000000000000e+03 4.043266506349060936e-14 4.290683894782417003e-15
5.200000000000000000e+03 3.243903461047789868e-14 4.214153007556444482e-15
5.210000000000000000e+03 5.205410286476815241e-14 4.143003726352343255e-15
5.220000000000000000e+03 4.151169311222747587e-14 4.078354078957525591e-15
5.230000000000000000e+03 4.228605333441780200e-14 4.021179168521815621e-15
5.240000000000000000e+03 3.911968732140512628e-14 3.969166831530279266e-15
5.250000000000000000e+03 4.167793848020823802e-14 3.916717637803215553e-15
5.260000000000000000e+03 4.301593598438049939e-14 3.858089232523350364e-15
5.270000000000000000e+03 3.884168369528266052e-14 3.787539260873387494e-15
5.280000000000000000e+03 3.926922343157469467e-14 3.699325368036035470e-15
5.290000000000000000e+03 3.517314229441358588e-14 3.590720565941170220e-15
5.300000000000000000e+03 3.833594933733612813e-14 3.471059333507314402e-15
5.310000000000000000e+03 3.217791166602621139e-14 3.352691516400158073e-15
5.320000000000000000e+03 3.885498648999068173e-14 3.247966960285384983e-15
5.330000000000000000e+03 3.573181953457536344e-14 3.169235510828683611e-15
5.340000000000000000e+03 3.323422779046275692e-14 3.128345548016196709e-15
5.350000000000000000e+03 2.604459051078769078e-14 3.125611741204541301e-15
5.360000000000000000e+03 2.644737969381834581e-14 3.149815049120818541e-15
5.370000000000000000e+03 2.983102658489775231e-14 3.189234964812564923e-15
5.380000000000000000e+03 3.273143999925777895e-14 3.232150981327334295e-15
5.390000000000000000e+03 3.234223027906471400e-14 3.266842591712670645e-15
5.400000000000000000e+03 3.250432424977117001e-14 3.284279903520421765e-15
5.410000000000000000e+03 3.747230486073859649e-14 3.286195482319617939e-15
5.420000000000000000e+03 3.012222336023607687e-14 3.277012508183587336e-15
5.430000000000000000e+03 3.280546965450675706e-14 3.261154161185658523e-15
5.440000000000000000e+03 3.167058423099512241e-14 3.243043621399161642e-15
5.450000000000000000e+03 3.507440871447588215e-14 3.227057656734223581e-15
5.460000000000000000e+03 2.944566387404492197e-14 3.216505555347446577e-15
5.470000000000000000e+03 3.164693940618815150e-14 3.213629125641899943e-15
5.480000000000000000e+03 3.063887535547714158e-14 3.220623763857454859e-15
5.490000000000000000e+03 3.376338178787067318e-14 3.239684866233982110e-15
5.500000000000000000e+03 3.016445457982863147e-14 3.273007829011350905e-15
5.510000000000000000e+03 3.858754108144404822e-14 3.322143874329315264e-15
5.520000000000000000e+03 3.367127390717914330e-14 3.386067527927137679e-15
5.530000000000000000e+03 3.833696846207927692e-14 3.463109141443969003e-15
5.540000000000000000e+03 3.961363833604532592e-14 3.551599066518952202e-15
5.550000000000000000e+03 3.353118433241567816e-14 3.649867654791234974e-15
5.560000000000000000e+03 3.846742150176691544e-14 3.756164677381690021e-15
5.570000000000000000e+03 4.492630890666462147e-14 3.866886553490983869e-15
5.580000000000000000e+03 4.305970177437176935e-14 3.976576350399581209e-15
5.590000000000000000e+03 4.031462634604716549e-14 4.079696554869638603e-15
5.600000000000000000e+03 4.424426841184533112e-14 4.170709653663348901e-15
5.610000000000000000e+03 3.907432109253004186e-14 4.244078133542895485e-15
5.620000000000000000e+03 4.420266861243388312e-14 4.295938602372468016e-15
5.630000000000000000e+03 4.535265011480273177e-14 4.329124152424292298e-15
5.640000000000000000e+03 4.062267935256841136e-14 4.348141997072606722e-15
5.650000000000000000e+03 4.177153295547832189e-14 4.357499349691644158e-15
5.660000000000000000e+03 4.941808986852090231e-14 4.361703423655646152e-15
5.670000000000000000e+03 4.912722277695613235e-14 4.365021100568793047e-15
5.680000000000000000e+03 4.003967395554919090e-14 4.366191631324150911e-15
5.690000000000000000e+03 4.437279923314373739e-14 4.358426636103657346e-15
5.700000000000000000e+03 4.469322067996347652e-14 4.334697403319199002e-15
5.710000000000000000e+03 3.841821757644505607e-14 4.287975221382669626e-15
5.720000000000000000e+03 4.707592818612280788e-14 4.211231378705952715e-15
5.730000000000000000e+03 4.416422969317799738e-14 4.100352658539155795e-15
5.740000000000000000e+03 4.745364387073866826e-14 3.962887823485234404e-15
5.750000000000000000e+03 3.808214421470906811e-14 3.809301130985368115e-15
5.760000000000000000e+03 3.828005852033786373e-14 3.650056838480729400e-15
5.770000000000000000e+03 3.321456538595958509e-14 3.495619203412493097e-15
5.780000000000000000e+03 3.146868450269313719e-14 3.356253349200906627e-15
5.790000000000000000e+03 3.435372422766371592e-14 3.237644316784901041e-15
5.800000000000000000e+03 3.084384722566636517e-14 3.140897064622084305e-15
5.810000000000000000e+03 3.128208831173923454e-14 3.066917417149162217e-15
5.820000000000000000e+03 3.039212226212052448e-14 3.016611198802811383e-15
5.830000000000000000e+03 3.149465444484953335e-14 2.990884234019717879e-15
5.840000000000000000e+03 2.959596861417451291e-14 2.989324037866294438e-15
5.850000000000000000e+03 2.913495202615686952e-14 3.006244887927842284e-15
5.860000000000000000e+03 3.716594188698705410e-14 3.034642752419385358e-15
5.870000000000000000e+03 2.766667331355278159e-14 3.067513599555951149e-15
5.880000000000000000e+03 2.784323267916578249e-14 3.097853397552561229e-15
5.890000000000000000e+03 3.471552112131783426e-14 3.118790543544344791e-15
5.900000000000000000e+03 3.198312344600509863e-14 3.126499299828748502e-15
5.910000000000000000e+03 3.543187799176470527e-14 3.120199793865549126e-15
5.920000000000000000e+03 2.914764760754055876e-14 3.099244582034623156e-15
5.930000000000000000e+03 2.920122571591463904e-14 3.062986220715846297e-15
5.940000000000000000e+03 3.160663887858093052e-14 3.010777266289093467e-15
5.950000000000000000e+03 3.043209528420020872e-14 2.943584469796086539e-15
5.960000000000000000e+03 2.960024518686823779e-14 2.868831360925916680e-15
5.970000000000000000e+03 2.707897594605787551e-14 2.795555664029522807e-15
5.980000000000000000e+03 2.950990323869241922e-14 2.732795103457838705e-15
5.990000000000000000e+03 2.909331871151585246e-14 2.689587403561804078e-15
6.000000000000000000e+03 2.514735788646263691e-14 2.674692503747791411e-15
6.010000000000000000e+03 2.426370395771186269e-14 2.690481289697284540e-15
6.020000000000000000e+03 2.699862583009653905e-14 2.732935593366876287e-15
6.030000000000000000e+03 2.908468295160733109e-14 2.797759461768582788e-15
6.040000000000000000e+03 2.900628426837208384e-14 2.880656941914435563e-15
6.050000000000000000e+03 2.827699181895621639e-14 2.977332080816457848e-15
6.060000000000000000e+03 3.110005992414686818e-14 3.083163360003056814e-15
6.070000000000000000e+03 3.195509714843736539e-14 3.192226999068148938e-15
6.080000000000000000e+03 3.341700954001040974e-14 3.298273652122033846e-15
6.090000000000000000e+03 3.644582394691519525e-14 3.395053973275008400e-15
6.100000000000000000e+03 3.428355206025894946e-14 3.476318616637371436e-15
6.110000000000000000e+03 4.130498869875532197e-14 3.536039622232326316e-15
6.120000000000000000e+03 4.169083783198984092e-14 3.573280906079851370e-15
6.130000000000000000e+03 3.627681049850071719e-14 3.592198260196722773e-15
6.140000000000000000e+03 3.438541517708433323e-14 3.597168862512612942e-15
6.150000000000000000e+03 3.785137420195500205e-14 3.592569890957194296e-15
6.160000000000000000e+03 3.323967362195750878e-14 3.582778523460142410e-15
6.170000000000000000e+03 3.409555455742879307e-14 3.571231919165158662e-15
6.180000000000000000e+03 2.619717031806390775e-14 3.557607162072053961e-15
6.190000000000000000e+03 3.232329222962494741e-14 3.540641317394667782e-15
6.200000000000000000e+03 4.096395278908184130e-14 3.519071450346840390e-15
6.210000000000000000e+03 3.234848539421517297e-14 3.491634626142409288e-15
6.220000000000000000e+03 3.265111265580029710e-14 3.457118074879576447e-15
6.230000000000000000e+03 3.177215748672518083e-14 3.415462818996933749e-15
6.240000000000000000e+03 3.266443386116332041e-14 3.367763673273450360e-15
6.250000000000000000e+03 3.628067310719434179e-14 3.315165617372476087e-15
6.260000000000000000e+03 3.619651903053763405e-14 3.258813630957348512e-15
6.270000000000000000e+03 2.765141537989206018e-14 3.199852693691402848e-15
6.280000000000000000e+03 2.957842962213984572e-14 3.139752133341610259e-15
6.290000000000000000e+03 2.842397822309824841e-14 3.081278670089443900e-15
6.300000000000000000e+03 3.646657711190053074e-14 3.027523372220004986e-15
6.310000000000000000e+03 3.527551112200350728e-14 2.981577308018395523e-15
6.320000000000000000e+03 2.845043291261716969e-14 2.946531545769717120e-15
6.330000000000000000e+03 3.029947014251265930e-14 2.925364964399319659e-15
6.340000000000000000e+03 2.937135652822076436e-14 2.918476087558307825e-15
6.350000000000000000e+03 3.134022411467598990e-14 2.923683083623541897e-15
6.360000000000000000e+03 3.128644463775847498e-14 2.938691931612124902e-15
6.370000000000000000e+03 3.228889701612950789e-14 2.961208610541164207e-15
6.380000000000000000e+03 2.734463348123720106e-14 2.988939099427765599e-15
6.390000000000000000e+03 3.166358070333364724e-14 3.019692400852319962e-15
6.400000000000000000e+03 3.013091245393788469e-14 3.051689611648330547e-15
6.410000000000000000e+03 3.220545732598734048e-14 3.083254852212587672e-15
6.420000000000000000e+03 2.836623873425564608e-14 3.112712242941881263e-15
6.430000000000000000e+03 2.914671274053657940e-14 3.138385904232996114e-15
6.440000000000000000e+03 2.818835900248514196e-14 3.158662411737924368e-15
6.450000000000000000e+03 3.243868358428499672e-14 3.173364811978276860e-15
6.460000000000000000e+03 3.336035193276594264e-14 3.183752622345291001e-15
6.470000000000000000e+03 3.605777370565974874e-14 3.191147815485398929e-15
6.480000000000000000e+03 3.283871281497726915e-14 3.196872364045041854e-15
6.490000000000000000e+03 2.906572697335900171e-14 3.202248240670651914e-15
6.500000000000000000e+03 3.054966940054935267e-14 3.208083629543919668e-15
6.510000000000000000e+03 2.927108094394543632e-14 3.213131560987529140e-15
6.520000000000000000e+03 3.749509814936450485e-14 3.215631276859422382e-15
6.530000000000000000e+03 3.358969700247748674e-14 3.213822019017535135e-15
6.540000000000000000e+03 3.372180809369561922e-14 3.205943029319809056e-15
6.550000000000000000e+03 3.189311038517494845e-14 3.190206397390655677e-15
6.560000000000000000e+03 3.125078045407578798e-14 3.164199711483444329e-15
6.570000000000000000e+03 2.836110283000593261e-14 3.124886058480498589e-15
6.580000000000000000e+03 2.924485404781482884e-14 3.069201373030628872e-15
6.590000000000000000e+03 3.453623267329513691e-14 2.994081589782633362e-15
6.600000000000000000e+03 2.828339308168973227e-14 2.896462643385313796e-15
6.610000000000000000e+03 2.469134494411601203e-14 2.774750950170273458e-15
6.620000000000000000e+03 2.276911136570181984e-14 2.633234853200314334e-15
6.630000000000000000e+03 2.873866301552497205e-14 2.477673177221040351e-15
6.640000000000000000e+03 2.132736346146965465e-14 2.313824746978056227e-15
6.650000000000000000e+03 1.688094705930095529e-14 2.147448387216963917e-15
6.660000000000000000e+03 2.104413410102517986e-14 1.984263352318754287e-15
6.670000000000000000e+03 1.980143086656317071e-14 1.829078778278326808e-15
6.680000000000000000e+03 1.317803434452527621e-14 1.685793682704473391e-15
6.690000000000000000e+03 1.606733127929596578e-14 1.558267512841417649e-15
6.700000000000000000e+03 1.227661219395114091e-14 1.450359715933338232e-15
6.710000000000000000e+03 1.347438939491884923e-14 1.365929739224428776e-15
6.720000000000000000e+03 1.381643285892839541e-14 1.308007897008590451e-15
6.730000000000000000e+03 1.252622128104193696e-14 1.276307971778549228e-15
6.740000000000000000e+03 1.246621469628858242e-14 1.269714613076739990e-15
6.750000000000000000e+03 1.390748144719965883e-14 1.287112470445597029e-15
6.760000000000000000e+03 1.303329933760573923e-14 1.327386193427553849e-15
6.770000000000000000e+03 1.483895457688039139e-14 1.389352302434230265e-15
6.780000000000000000e+03 1.694065744416575032e-14 1.470260347868530856e-15
6.790000000000000000e+03 1.245582873411397246e-14 1.565792910124655620e-15
6.800000000000000000e+03 1.717310014038979639e-14 1.671564440465960493e-15
6.810000000000000000e+03 1.549526396085030148e-14 1.783189390155829810e-15
6.820000000000000000e+03 2.317421547129164667e-14 1.896282210457637653e-15
6.830000000000000000e+03 1.758955970520517350e-14 2.006873250204172600e-15
6.840000000000000000e+03 2.407867181703508454e-14 2.112656448505866824e-15
6.850000000000000000e+03 2.114552404836308499e-14 2.211741642042563250e-15
6.860000000000000000e+03 2.283231114187110493e-14 2.302238667494109928e-15
6.870000000000000000e+03 2.490873011028542994e-14 2.382257361540348995e-15
